text,label
mari kita main adopt me bareng bareng,0
siapa yang punya pet legendary adopt me,0
tukar robux sama item adopt me yuk,0
main brookhaven roleplay bareng,0
jadi dokter di brookhaven keren,0
rumah kamu bagus banget di brookhaven,0
join game blox fruits yuk,0
grinding devil fruit di blox fruits,0
punya buddha fruit keren,0
main bedwars bareng seru,0
strategi bedwars kita bagus,0
tim kita solid banget bedwars,0
tower defense simulator mantap,0
build tower kita kuat banget,0
wave terakhir kita berhasil,0
obby ini seru banget mainnya,0
tower of hell susah tapi seru,0
akhirnya bisa selesai obby ini,0
flee the facility menang,0
jadi beast di flee the facility,0
escape berhasil tim kita hebat,0
murder mystery seru mainnya,0
siapa murderernya ya tadi,0
kita menang sebagai innocent,0
arsenal gameplay bagus,0
headshot keren tadi di arsenal,0
skin arsenal kamu keren,0
piggy chapter baru seru,0
escape dari piggy berhasil,0
main piggy build mode,0
jailbreak heist berhasil,0
mobil keren di jailbreak,0
jadi polisi di jailbreak seru,0
royale high outfit cantik,0
diamond banyak di royale high,0
pageant menang di royale high,0
mm2 godly knife keren,0
trade knife mm2 fair,0
mm2 gameplay seru banget,0
pet simulator x grinding,0
pet legendary keren banget,0
enchant pet berhasil di psx,0
natural disaster survival seru,0
tsunami tadi seru banget,0
kita survive semua disaster,0
work at pizza place fun,0
jadi manager pizza place,0
pizza delivery sukses terus,0
theme park tycoon bagus,0
roller coaster kamu keren,0
taman bermain kamu mantap,0
restaurant tycoon makanan enak,0
layout restoran bagus banget,0
rating restoran lima bintang,0
mining simulator diamond banyak,0
pickaxe legendary mantap,0
rebirth berhasil di mining sim,0
ninja legends pet kuat,0
island terbang keren,0
chi master di ninja legends,0
anime fighting simulator keren,0
stand kamu kuat banget,0
pvp seru di anime fighting,0
shindo life bloodline bagus,0
mode baru shindo seru,0
grinding mastery shindo,0
all star tower defense mantap,0
summon SSR berhasil,0
team astd kita kuat,0
king legacy buah bagus,0
grinding level king legacy,0
raid boss berhasil tim kita,0
grand piece online adventure,0
devil fruit gpo keren,0
sailing bareng di gpo,0
project slayers breathing bagus,0
demon art keren banget,0
nichirin sword mantap,0
swordburst 2 grinding,0
dungeon clear tim kita,0
legendary drop berhasil,0
dungeon quest party solid,0
boss terakhir berhasil kita kalahkan,0
loot bagus semua dapat,0
bubble gum simulator pet,0
shiny pet keren banget,0
hatching legendary berhasil,0
meep city party seru,0
rumah meep city bagus,0
fishing di meep city,0
vehicle simulator mobil keren,0
race menang di vehicle sim,0
helikopter kamu mantap,0
