text,label
robux lo dikit amat miskin,1
beli robux dulu baru main,1
no robux no skill,1
free player sampah,1
f2p noob semua,1
premium player aja cupu,1
gamepass sia sia lo beli,1
item mahal skill murah lo,1
rich tapi tetep noob,1
banyak robux otak kosong,1
flexing robux skill nol,1
miskin robux miskin skill,1
pet jelek adopt me lo,1
trade pet ampas lo,1
legendary lo jelek semua,1
mega neon gitu doang,1
pet common aja bangga,1
shiny lo biasa aja,1
nilai pet lo rendah,1
overpay trade bego lo,1
underpay mulu trading,1
scammer ingame lo,1
tipu tipu trade,1
maling pet orang,1
penipu adopt me,1
trust trade palsu,1
free pet scam,1
giveaway fake anjing,1
penipuan robux bajingan,1
phishing link tolol,1
hack akun orang brengsek,1
steal account bangsat,1
cookie log tai,1
bypass moderation kampret,1
exploit detector tolol,1
anti cheat bypasser bego,1
rule breaker toxic,1
tos violator bangsat,1
community guidelines ignorer,1
content policy breaker,1
hate speech spreader,1
discrimination promoter,1
harassment master,1
bullying expert toxic,1
cyberbully roblox,1
online abuser,1
verbal harassment toxic,1
mental abuse gaming,1
emotional manipulation,1
psychological torment,1
threaten violence,1
death threat tolol,1
kill yourself toxic,1
bunuh diri sana,1
mati aja lo tolol,1
end yourself bego,1
disappear forever,1
cease to exist,1
better off dead,1
world better without you,1
no one cares about you,1
nobody wants you,1
unwanted existence,1
mistake of nature,1
accident waiting to happen,1
disaster incarnate,1
catastrophe personified,1
walking tragedy,1
living nightmare,1
breathing problem,1
existing issue,1
alive inconvenience,1
born mistake,1
creation error,1
production fail,1
manufacturing defect,1
design flaw,1
system error,1
bug in matrix,1
glitch in system,1
virus in program,1
malware human,1
trojan person,1
worm existence,1
backdoor personality,1
rootkit behavior,1
ransomware attitude,1
spyware tendencies,1
adware annoyance,1
bloatware presence,1
junkware being,1
crapware person,1
shovelware player,1
abandonware skill,1
vaporware promises,1
slideware presentations,1
demoware abilities,1
trialware performance,1
betaware quality,1
alpha build human,1
pre release disaster,1
early access failure,1
unfinished product,1
half baked person,1
undercooked player,1
raw material gaming,1
crude oil skill,1
unrefined presence,1
unsophisticated existence,1
primitive mentality,1
caveman thinking,1
neanderthal brain,1
dinosaur reflexes,1
ancient strategies,1
outdated tactics,1
obsolete methods,1
deprecated skills,1
legacy behavior,1
old school loser,1
boomer gaming lol,1
ok boomer noob,1
generational failure,1
era embarrassment,1
time period shame,1
century disgrace,1
decade disaster,1
year failure,1
month mistake,1
week waste,1
day disaster,1
hour hell,1
minute misery,1
second suffering,1
moment madness,1
instant insanity,1
skill issue extreme,1
get good never,1
learn to play impossible,1
practice more useless,1
train harder pointless,1
grind more waste,1
effort worthless,1
try harder futile,1
work harder meaningless,1
push harder direction wrong,1
focus more scatter brain,1
concentrate better adhd,1
pay attention blind,1
watch and learn deaf,1
listen and improve mute,1
follow instructions rebel,1
obey commands anarchist,1
respect hierarchy chaos,1
acknowledge authority deny,1
accept defeat never,1
admit mistake impossible,1
recognize error deny,1
see fault blind,1
understand problem clueless,1
comprehend issue confused,1
grasp concept slow,1
catch on late,1
figure out never,1
solve puzzle impossible,1
answer question wrong,1
complete task fail,1
